106,151
120,150
118,135
104,109
83,77
57,43
36,17
17,0
1,0
0,0
0,1
1,1
17,1
35,1
55,2
75,2
93,2
106,2
113,3
115,3
116,4
120,4
123,4
124,4
126,4
125,4
116,4
99,3
81,3
61,3
41,2
23,3
9,3
0,4
0,6
2,8
14,10
34,13
57,16
74,21
81,26
81,32
71,38
52,45
36,53
32,60
39,65
54,69
66,69
68,67
62,63
51,56
39,49
32,41
37,35
54,30
77,25
95,22
100,18
92,15
73,12
48,10
24,12
7,12
0,12
0,10
0,9
3,12
11,17
23,26
37,36
52,46
69,51
85,47
98,37
108,28
118,27
126,38
132,54
139,67
137,75
131,69
118,57
97,46
74,38
48,33
25,34
5,38
0,38
3,30
17,17
30,3
38,0
38,5
34,25
33,48
38,74
46,97
57,118
69,131
75,137
67,139
54,132
38,126
27,118
28,108
37,98
47,85
51,69
46,52
36,37
26,23
17,11
12,3
9,0
10,0
12,0
12,7
12,24
10,48
12,73
15,92
18,100
22,95
25,77
30,54
35,37
41,32
49,39
56,51
63,62
67,68
69,66
69,54
65,39
60,32
53,36
45,52
38,71
32,81
26,81
21,74
16,57
13,34
10,14
8,2
6,0
4,0
3,9
3,23
2,41
3,61
3,81
3,99
4,116
4,125
4,126
4,124
4,123
4,120
4,116
3,115
3,113
2,106
2,93
2,75
2,55
1,35
1,17
1,1
1,0
0,0
0,1
0,17
17,36
43,57
77,83
109,104
135,118
150,120
151,106
